COUNTRY,UNITS,TOTAL 2016,COAL,NATURAL GAS,PETROLEUM +OTHER LIQUIDS,"NUCLEAR, RENEWABLES + OTHERS"
Moldova,Quad Btu,0.1300808438,0.003250423718,0.08856757536,0.0360809549,0.002181889868
Mongolia,Quad Btu,0.1927715811,0.1436393745,0,0.042830052,0.006302154543
Montenegro,Quad Btu,0.04503671941,0.01249075771,0,0.014084778,0.01846118371
Montserrat,Quad Btu,0.001627139376,0,0,0.000813569688,0.000813569688
Morocco,Quad Btu,0.7813424548,0.1376884762,0.04652415119,0.537733788,0.05939603941
Mozambique,Quad Btu,0.280868842,0.0002746419357,0.06949317908,0.082241298,0.128859723
Namibia,Quad Btu,0.07618120673,0.0001179737641,0,0.053690004,0.02237322896
Nauru,Quad Btu,0.001046235728,0,0,0.001023117864,2.31E-05
Nepal,Quad Btu,0.1341683616,0.004074318781,0,0.083214126,0.04687991678
Netherlands,Quad Btu,3.974047621,0.4271669483,1.313684434,2.027681102,0.2055151359
Netherlands Antilles,Quad Btu,0.1940919055,0,0,0.1914611928,0.002630712758
New Caledonia,Quad Btu,0.07285020448,0.0269470269,0,0.04320867534,0.002694502238
New Zealand,Quad Btu,0.8976168708,0.05001811972,0.182217134,0.331752073,0.3336295441
Nicaragua,Quad Btu,0.09905706,0,0,0.076172652,0.022884408
Niger,Quad Btu,0.0326101502,0.005384129101,0,0.024068892,0.003157129101
Nigeria,Quad Btu,1.588491269,0.004124309214,0.6836642475,0.849796734,0.05090597869
Niue,Quad Btu,0.000208365996,0,0,0.000104182998,0.000104182998
Northern Mariana Islands,Quad Btu,0,0,0,0,0
Norway,Quad Btu,1.946497853,0.02005935382,0.1859641996,0.440283702,1.300190597
Oman,Quad Btu,1.165942761,0.002371841263,0.786275821,0.376823718,0.0004713802869
Pakistan,Quad Btu,3.1148265,0.2099870588,1.332119527,1.163000868,0.4097190462
Palestinian Territories,Quad Btu,0.07025437794,0,0,0.04657604297,0.02367833497
Panama,Quad Btu,0.4058629608,0.007722348409,0,0.333161748,0.06497886441
Papua New Guinea,Quad Btu,0.09076967016,0,0.0036974805,0.07962065858,0.007451531078
Paraguay,Quad Btu,0.521049076,0,0,0.103203216,0.41784586
Peru,Quad Btu,1.103576633,0.02833270118,0.3539504075,0.4826442,0.2386493242
Philippines,Quad Btu,1.629222171,0.4451861617,0.1135273265,0.868557162,0.201951521
Poland,Quad Btu,4.131291966,2.290902991,0.6410254804,1.173931782,0.02543171223
Portugal,Quad Btu,1.085083137,0.1184922529,0.1909226362,0.49387699,0.2817912577
Puerto Rico,Quad Btu,0.2858581097,0.02377683992,0.06421769684,0.1946758221,0.003187750852
Qatar,Quad Btu,1.84803672,0,1.510507472,0.33747396,5.53E-05
Reunion,Quad Btu,0.0444082425,0,0,0.03776981725,0.006638425252
Romania,Quad Btu,1.370460754,0.2014847964,0.3829039909,0.410182056,0.3758899104
Russia,Quad Btu,31.48513173,4.751306138,15.89347181,7.23040342,3.609950362
Rwanda,Quad Btu,0.01669824121,0,0,0.0137823866,0.002915854604
Saint Helena,Quad Btu,0.00029219244,0,0,0.00014609622,0.00014609622
Saint Kitts and Nevis,Quad Btu,0.00406960196,0,0,0.00349787298,0.00057172898
Saint Lucia,Quad Btu,0.006537024772,0,0,0.006263896386,0.000273128386
Saint Pierre and Miquelon,Quad Btu,0.0017723036,0,0,0.0013861518,0.0003861518
Saint Vincent/Grenadines,Quad Btu,0.003718379148,0,0,0.003234557574,0.000483821574
Samoa,Quad Btu,0.005074160188,0,0,0.004843208094,0.000230952094
Sao Tome and Principe,Quad Btu,0.002202469924,0,0,0.002073538962,0.000128930962
Saudi Arabia,Quad Btu,10.83475545,0.002686375934,3.914854267,6.917214804,0
Senegal,Quad Btu,0.1186776671,0.0095818999,0.001904891639,0.103390242,0.00380063354
Serbia,Quad Btu,0.6558007882,0.3098829788,0.08273797749,0.1513052235,0.1118746085
Seychelles,Quad Btu,0.01559496354,0,0,0.01559496354,0
Sierra Leone,Quad Btu,0.01517514232,0,0,0.01357205116,0.001603091162
Singapore,Quad Btu,3.51161312,0.01520505077,0.4577375478,3.024075732,0.01459478988
Slovakia,Quad Btu,0.7104875427,0.1285292757,0.1738854351,0.169278605,0.2387942269
Slovenia,Quad Btu,0.2818039074,0.04430879855,0.03108520701,0.108242008,0.0981678938
Solomon Islands,Quad Btu,0.003598341744,0,0,0.003285322872,0.000313018872
Somalia,Quad Btu,0.01167056843,0,0,0.01167056843,0
South Africa,Quad Btu,6.073816073,4.345631775,0.1843193762,1.317879624,0.2259852978
