,Unnamed: 0,4. State Resource Mix (eGRID2016),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,,State,Nameplate Capacity (MW),Net Generation (MWh),Generation Resource Mix (percent)*,,,,,,,,,,
1,,,,,Coal,Oil,Gas,Other Fossil,Nuclear,Hydro,Biomass,Wind,Solar,Geo- thermal,Other unknown/ purchased fuel
18,,KS,19888.2,47599990.322,48.5211521866395,0.0595035411749648,4.2588391507495,0,17.3236210717495,0.0641554748677105,0.123596663089172,29.6447138436294,0.00441596725954311,0,2.10084075144772e-06
19,,KY,31178.5,80273501.005,83.2429848118192,1.51782791134958,10.2506072340467,0.0622262907237682,0,4.33260037756264,0.579138339799489,0,0.0146150346986756,0,0
20,,LA,36571.7,106842115.053,11.2443007965254,4.51060385878939,61.8224879113802,1.995293152188,16.0534315224573,1.03238595110488,2.69207760273855,0,0,0,0.649419204816255
21,,MA,19517.4,31951671.137,5.86802379880449,1.32162439213174,66.1747420653558,0.00165159746509087,16.9453355971823,0.663708684576483,6.45211987271173,0.676406392655579,1.89638759911684,0,0
22,,MD,18265.2,37166746.524,37.1991610016348,0.432115094511355,14.5906019191779,0,39.7119725771528,3.74565237031159,2.34091930077492,1.4181900876279,0.561387648808749,0,0
23,,ME,5717.6,11514427.426,0.606396623673887,0.953425587860634,30.38346418909,1.29038174518737,0,26.0515580257956,25.3457416660948,14.4783842876034,0,0,0.89064787469436
24,,MI,36977.2,112121789.925,36.1454028370175,0.730436865892991,26.1279754752842,1.58249105030814,28.1405691783868,0.724841261349094,2.35007655237637,4.18810918198071,0.00823657913825913,0,0.00186101826593887
25,,MN,21832.4,60036475.896,38.6536500501645,0.0511445406080547,14.8732883646442,0,23.0873250830994,2.01294568547713,3.63516628663332,17.4747253478972,0.0168347660494798,0,0.19491987542677
26,,MO,24747.7,78611512.544,76.7341676411401,0.0938663714822434,7.67800313308529,0.0114222354425749,11.9959262262824,1.84155470470997,0.176360042251555,1.42712303791056,0.0415766076953379,0,0
27,,MS,19599.7,62881294.963,8.49541348114511,0.0282839006551713,79.6655646021598,0.00838461422035819,9.37842008949327,0,2.42393331232631,0,0,0,0
28,,MT,7258.5,27783529.992,51.3585643202464,1.65537902584312,1.71346364878582,0.0309021940007306,0,36.2895909924844,0.0725249844060513,7.70309361324901,0,0,1.17648122098447
29,,NC,48223.6,130768152.699,28.6275972168915,0.192090640609279,30.015795849519,0.277544220702755,32.719042179998,3.3778759682066,1.95453554524712,0.00476645106405565,2.60776261862837,0,0.222989309133253
30,,ND,9442.3,37856451.758,70.2135259347657,0.0795164301827238,2.82940866719082,0.121430683315052,0,5.05067145289499,0.0148085722395754,21.5866031525464,0,0,0.104035106864687
31,,NE,10004.2,37197843.2,58.8398611578095,0,1.44525156238933,0,25.1253372451846,4.10962735327667,0.262838185793249,10.2063874211507,0.0106970743959478,0,0
32,,NH,4650.3,19282493.05,2.18860205904539,0.201210252226213,24.6048890391982,0,55.8079442567418,5.94003080472722,9.01526911004134,2.24205447801986,0,0,0
33,,NJ,28577,77598196.669,1.68979931987715,0.187840466788286,56.3130407877612,0.266307331208533,38.4164253009358,0,1.95655985151755,0.0267904202739907,1.05623353593692,0,0.0870029857005057
